Taxon,Laengengrad,Breitengrad,Zeitpunkt,Aufenthaltsw,Datenbank,Jahr
Impatiens glandulifera,9.541667,51.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.708333,51.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.375,51.375,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,9.625,51.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.458333,51.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.541667,51.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.79167,50.925,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,50.975,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.95833,50.975,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.875,50.925,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,50.925,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.708333,50.875,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.79167,50.875,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,50.875,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,50.875,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,50.825,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.04167,50.875,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.291667,50.725,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.375,50.725,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.291667,50.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.291667,50.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.375,50.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.375,50.625,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.458333,50.625,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.541667,50.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.291667,50.575,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.375,50.575,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.458333,50.575,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.375,50.525,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.458333,50.525,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.625,50.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.458333,50.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.375,50.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.45833,50.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.45833,50.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.54167,50.375,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.54167,50.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,50.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.45833,50.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.54167,50.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,50.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,50.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,50.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,50.275,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.70833,50.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.625,50.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.708333,50.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,50.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,50.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,50.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,50.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,50.125,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.875,50.125,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,9.625,50.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,9.625,50.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,9.708333,50.075,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.79167,50.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,50.025,1960 - 1987,1,sMon,1987
