"Species name";"Taxonomic group";"Environment";"Pathway: main category
(according to CBD scheme)";"Pathway: subcategory 
(according to CBD scheme)";"Pathway: intentionality ";"Source of the record:
D = DAISIE
G = GISD/IASPMR";"Record concerns overlapping species (i.e. species with records in both databases: DAISIE and GISD/IASPMR)";"Record concerns species that is listed among 'Europe's Worst IAS' according to EEA (2007) Halting the loss of biodiversity by 2010: proposal for a first set of indicators to monitor progress in Europe. EEA Technical Report No. 11/2007. European Environment Agency, Copenhagen, DK.";"Record concerns species that is listed among the '100 of the Worst IAS' in DAISIE
(www.europe-aliens.org)";"Record concerns species that is listed among the '100 of the Worst IAS' in GISD
(www.iucngisd.org)"
"Abbottina rivularis";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Abbottina rivularis";"Vertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Abbottina rivularis";"Vertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Abelmoschus moschatus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";;;;
"Abelmoschus moschatus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Abgrallaspis cyanophylli  Coccoidea";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Release in nature";"Release in nature for use";"intentional";"D";;;;
"Abies balsamea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies balsamea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies concolor";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies fraseri";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies grandis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies nordmanniana";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Abies nordmanniana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies pinsapo";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Abies pinsapo";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies procera";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies sibirica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Ablerus chionaspidis";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Ablerus clisiocampae";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Ablerus perspeciosus";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Abra ovata";"Invertebrates";"marine";"Release in nature";"Fishery in the wild";"intentional";"D";;;;
"Abramis bjoerkna";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Abramis brama";"Vertebrates";"freshwater";"Release in nature";"Fishery in the wild";"intentional";"D";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Abramis sapa";"Vertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Abronia fragrans";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Abudefduf saxatilis";"Vertebrates";"marine";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Abudefduf saxatilis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Abudefduf vaigiensis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";"x";;;
"Abudefduf vaigiensis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Abudefduf vaigiensis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Abutilon grandifolium";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon sonneratianum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon striatum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acabaria erythraea";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Acacia baileyana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia baileyana";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acacia confusa";"Plants";"terrestrial";"Release in Nature";"Erosion control/ dune stabilization";"intentional";"G";;;;
