"Taxon" "taxonGroup" "nRecords_GBIF_DE" "nRecords_GBIF_All"
"14" "Acartia tonsa" "Crustaceen" 1 3208
"107" "Alexandrium minutum" "Oomyceten, Bakterien und Protozoen" 0 20643
"109" "Alexandrium tamarense" "Oomyceten, Bakterien und Protozoen" 1 1627
"110" "Alitta succinea" "Andere Tiere" 13 4717
"143" "Alternanthera philoxeroides" "Höhere Pflanzen" 0 28375
"180" "Ameira divagans" NA 0 0
"181" "Ameira divagans divagans" "Crustaceen" 0 4
"197" "Amphibalanus amphitrite" "Crustaceen" 0 2961
"198" "Amphibalanus improvisus" "Crustaceen" 74 10825
"256" "Antithamnionella ternifolia" "Algen" 5 570
"259" "Aphanomyces astaci" "Oomyceten, Bakterien und Protozoen" 22 467
"330" "Ascidiella aspersa" "Manteltiere" 6 7843
"347" "Asterionella glacialis" "Oomyceten, Bakterien und Protozoen" 221 20648
"378" "Austrominius modestus" NA 32 9950
"422" "Biddulphia sinensis" "Oomyceten, Bakterien und Protozoen" 2213 25481
"444" "Boccardia proboscidea" "Andere Tiere" 0 457
"455" "Bonnemaisonia hamifera" "Algen" 54 5219
"510" "Bucephalus polymorphus" "Andere Tiere" 1 38
"515" "Bugula neritina" "Andere Tiere" 0 2299
"534" "Callinectes sapidus" "Crustaceen" 2 90050
"574" "Caprella mutica" "Crustaceen" 8 1554
"670" "Cercopagis pengoi" "Crustaceen" 0 161
"697" "Chara connivens" "Algen" 10 1448
"701" "Chattonella marina antiqua" "Oomyceten, Bakterien und Protozoen" 0 0
"702" "Chattonella sp." NA 0 0
"704" "Chelicorophium curvispinum" "Crustaceen" 180 7887
"705" "Chelicorophium robustum" "Crustaceen" 62 347
"706" "Chelicorophium sowinskyi" "Crustaceen" 1 4
"738" "Chorda filum" "Oomyceten, Bakterien und Protozoen" 111 20768
"771" "Claviceps purpurea var. spartinae" NA 0 0
"798" "Codium fragile" "Algen" 29 9580
"799" "Codium fragile fragile" "Algen" 0 0
"832" "Corbicula fluminalis" "Weichtiere" 54 1259
"833" "Corbicula fluminea" "Weichtiere" 699 35905
"836" "Cordylophora caspia" "Andere Tiere" 46 1386
"875" "Coscinodiscus wailesii" "Oomyceten, Bakterien und Protozoen" 540 5782
"878" "Cothurnia anomala" "Oomyceten, Bakterien und Protozoen" 0 0
"905" "Cotula coronopifolia" "Höhere Pflanzen" 365 22995
"908" "Crangonyx pseudogracilis" "Crustaceen" 57 77007
"926" "Crepidula fornicata" "Weichtiere" 267 22241
"955" "Cryptorchestia cavimana" "Crustaceen" 15 790
"1035" "Dasya baillouviana" "Algen" 2 2802
"1065" "Detonula pumila" "Oomyceten, Bakterien und Protozoen" 9 1330
"1075" "Diaphanosoma orghidani" "Crustaceen" 1 53
"1096" "Dikerogammarus bispinosus" "Crustaceen" 6 16
"1097" "Dikerogammarus haemobaphes" "Crustaceen" 96 3215
"1098" "Dikerogammarus villosus" "Crustaceen" 363 2931
"1120" "Dreissena polymorpha" "Weichtiere" 797 22656
"1121" "Dreissena rostriformis" "Weichtiere" 88 2785
"1144" "Echinogammarus berilloni" "Crustaceen" 222 2124
"1145" "Echinogammarus ischnus" "Crustaceen" 40 512
"1146" "Echinogammarus trichiatus" "Crustaceen" 19 130
"1178" "Elodea canadensis" "Höhere Pflanzen" 13114 91560
"1196" "Ensis directus" "Weichtiere" 14 2254
"1197" "Ensis leei" "Weichtiere" 326 7417
"1214" "Epistylis loricata" "Oomyceten, Bakterien und Protozoen" 0 0
"1243" "Eriocheir sinensis" "Crustaceen" 341 16873
"1320" "Evadne anonyx" "Crustaceen" 0 5
"1343" "Fibrocapsa japonica" "Oomyceten, Bakterien und Protozoen" 1 406
"1344" "Ficopomatus enigmaticus" "Andere Tiere" 0 1572
"1364" "Fucus evanescens" "Oomyceten, Bakterien und Protozoen" 1 4074
"1365" "Fucus serratus" "Oomyceten, Bakterien und Protozoen" 125 28978
"1395" "Gammarus tigrinus" "Crustaceen" 166 21423
"1396" "Gammarus varsoviensis" "Crustaceen" 9 27
"1449" "Gobiosoma bosc" "Fische" 8 36447
"1463" "Gonionemus vertens" "Andere Tiere" 0 243
"1466" "Gracilaria vermiculophylla" "Algen" 18 1997
"1482" "Gymnodinium aureolum" "Oomyceten, Bakterien und Protozoen" 4 897
"1483" "Gymnodinium catenatum" "Oomyceten, Bakterien und Protozoen" 0 1876
"1554" "Hemigrapsus sanguineus" "Crustaceen" 70 5411
"1555" "Hemigrapsus takanoi" "Crustaceen" 51 1224
"1557" "Heniochus acuminatus" "Fische" 1 2899
"1574" "Heterosigma akashiwo" "Oomyceten, Bakterien und Protozoen" 0 3684
"1701" "Jaera istri" "Crustaceen" 194 944
"1707" "Jassa marmorata" "Crustaceen" 54 1868
"1726" "Karenia mikimotoi" "Oomyceten, Bakterien und Protozoen" 1 25034
"1729" "Katamysis warpachowskyi" "Crustaceen" 0 19
"1732" "Khawia sinensis" "Andere Tiere" 1 24
"1747" "Labyrinthula zosterae" "Oomyceten, Bakterien und Protozoen" 1 60
"1800" "Lennoxia faveolata" "Oomyceten, Bakterien und Protozoen" 0 364
"1817" "Lepidodinium chlorophorum" "Oomyceten, Bakterien und Protozoen" 2 750
"1881" "Lindernia dubia" "Höhere Pflanzen" 130 16767
"1907" "Lithoglyphus naticoides" "Weichtiere" 57 1148
"2004" "Marenzelleria neglecta" "Andere Tiere" 9 2566
"2005" "Marenzelleria viridis" "Andere Tiere" 10 4046
"2022" "Mediopyxis helysia" "Oomyceten, Bakterien und Protozoen" 1 2
"2048" "Melita nitida" "Crustaceen" 0 674
"2055" "Menetus dilatatus" "Weichtiere" 4 1927
"2099" "Mnemiopsis leidyi" "Andere Tiere" 76 2466
"2120" "Mulinia lateralis" "Weichtiere" 0 9843
"2131" "Mya arenaria" "Weichtiere" 663 24332
"2151" "Mytilopsis leucophaeata" "Weichtiere" 6 1158
"2176" "Nemopsis bachei" "Andere Tiere" 0 331
"2182" "Neogobius melanostomus" "Fische" 1214 44085
"2198" "Nephtys ciliata" "Andere Tiere" 135 3987
"2211" "Nitzschia sigmoidea" "Oomyceten, Bakterien und Protozoen" 35 1851
"2228" "Obesogammarus crassus" "Crustaceen" 6 119
"2229" "Obesogammarus obesus" "Crustaceen" 0 9
"2279" "Oithona davisae" "Crustaceen" 0 745
"2355" "Pachycordyle michaeli" "Andere Tiere" 0 32
"2366" "Palaemon macrodactylus" "Crustaceen" 9 1253
"2427" "Pectinatella magnifica" "Andere Tiere" 11 1451
"2446" "Peridinium quadridentatum" "Oomyceten, Bakterien und Protozoen" 1 1587
"2624" "Polydora cornuta" "Andere Tiere" 15 3150
"2639" "Pontogammarus robustoides" "Crustaceen" 55 179
"2660" "Potamopyrgus antipodarum" "Weichtiere" 2258 154343
"2663" "Potamothrix moldaviensis" "Andere Tiere" 90 1725
"2664" "Potamothrix vejdovskyi" "Andere Tiere" 0 275
"2680" "Proasellus coxalis" "Crustaceen" 892 5940
"2681" "Proasellus meridianus" NA 287 9481
"2693" "Pronoctiluca pelagica" "Oomyceten, Bakterien und Protozoen" 0 690
"2695" "Prorocentrum triestinum" "Oomyceten, Bakterien und Protozoen" 0 8024
"2736" "Pseudochattonella farcimen" "Oomyceten, Bakterien und Protozoen" 0 305
"2737" "Pseudochattonella verruculosa" "Oomyceten, Bakterien und Protozoen" 10 123
"2742" "Pseudodactylogyrus anguillae" "Andere Tiere" 0 6
"2743" "Pseudodactylogyrus bini" "Andere Tiere" 0 3
"2744" "Pseudodiaptomus marinus" "Crustaceen" 0 459
"2812" "Rangia cuneata" "Weichtiere" 32 14908
"2842" "Rhithropanopeus harrisii" "Crustaceen" 24 2016
"2846" "Rhizosolenia indica" "Oomyceten, Bakterien und Protozoen" 41 13996
"2968" "Salvinia minima" "Höhere Pflanzen" 8 9796
"2980" "Sargassum muticum" "Oomyceten, Bakterien und Protozoen" 108 17386
"3004" "Schyzocotyle acheilognathi" "Andere Tiere" 0 659
"3083" "Sinelobus vanhaareni" "Crustaceen" 0 113
"3102" "Skistodiaptomus pallidus" "Crustaceen" 7 141
"3180" "Stephanopyxis turris" "Oomyceten, Bakterien und Protozoen" 5 5757
"3269" "Telmatogeton japonicus" "Insekten" 0 135
"3287" "Thalassiosira hendeyi" "Oomyceten, Bakterien und Protozoen" 1 344
"3289" "Thalassiosira tealata" "Oomyceten, Bakterien und Protozoen" 1 9
"3295" "Thecadinium kofoidii" "Oomyceten, Bakterien und Protozoen" 0 69
"3296" "Thecadinium yashimaense" "Oomyceten, Bakterien und Protozoen" 1 184
"3322" "Tiaropsis multicirrata" "Andere Tiere" 0 78
"3422" "Undaria pinnatifida" "Oomyceten, Bakterien und Protozoen" 0 5051
"3423" "Unio mancus" "Weichtiere" 1 3500
"3425" "Urnatella gracilis" "Andere Tiere" 0 30
"3547" "Zoothamnium minimum" "Oomyceten, Bakterien und Protozoen" 0 0
