Taxon_orig,Taxon
Cotoneaster divaricatus,Cotoneaster divaricatus
Lathyrus latifolius,Lathyrus latifolius
Lepidium densiflorum,Lepidium densiflorum
Lepidium heterophyllum,Lepidium heterophyllum
Lepidium neglectum,Lepidium densiflorum
Lepidium virginicum,Lepidium virginicum
Lindernia dubia,Lindernia dubia
Lolium multiflorum,Lolium multiflorum
Lupinus polyphyllus,Lupinus polyphyllus
Lycium barbarum,Lycium barbarum
Lysimachia punctata,Lysimachia punctata
Amaranthus albus,Amaranthus albus
Mahonia aquifolium,Mahonia aquifolium
Amaranthus blitoides,Amaranthus blitoides
Matricaria discoidea,Matricaria discoidea
Medicago arabica,Medicago arabica
Amaranthus deflexus,Amaranthus deflexus
Amaranthus graecizans,Amaranthus graecizans
Melilotus indicus,Melilotus indicus
Amaranthus retroflexus,Amaranthus retroflexus
Ambrosia artemisiifolia,Ambrosia artemisiifolia
Ambrosia trifida,Ambrosia trifida
Amelanchier lamarckii,Amelanchier lamarckii
Myagrum perfoliatum,Myagrum perfoliatum
Ammi majus,Ammi majus
Myriophyllum heterophyllum,Myriophyllum heterophyllum
Nicandra physalodes,Nicandra physalodes
Ornithopus sativus,Ornithopus sativus
Anchusa azurea,Anchusa azurea
Oxalis dillenii,Oxalis dillenii
Panicum capillare,Panicum capillare
Panicum miliaceum,Panicum miliaceum
Papaver somniferum,Papaver somniferum
Parietaria pensylvanica,Parietaria pensylvanica
Phacelia tanacetifolia,Phacelia tanacetifolia
Phalaris canariensis,Phalaris canariensis
Philadelphus coronarius,Philadelphus coronarius
Picris echioides,Helminthotheca echioides
Pinus nigra,Pinus nigra
Portulaca oleracea,Portulaca oleracea
Potentilla intermedia,Potentilla intermedia
Anthemis ruthenica,Anthemis ruthenica
Prunus serotina,Prunus serotina
Quercus rubra,Quercus rubra
Ailanthus altissima,Ailanthus altissima
Rapistrum rugosum,Rapistrum rugosum
Eragrostis albensis,Eragrostis pilosa
Robinia pseudoacacia,Robinia pseudoacacia
Rosa rugosa,Rosa rugosa
Apera interrupta,Apera interrupta
Spiraea billardii,Spiraea billardii
Rudbeckia hirta,Rudbeckia hirta
Rudbeckia laciniata,Rudbeckia laciniata
Rumex longifolius,Rumex longifolius
Rumex stenophyllus,Rumex stenophyllus
Salix acutifolia,Salix acutifolia
Centaurea calcitrapa,Centaurea calcitrapa
Centaurea diffusa,Centaurea diffusa
Salvia verticillata,Salvia verticillata
Scilla siberica,Scilla siberica
Centaurea nigrescens,Centaurea nigrescens
Sedum hispanicum,Sedum hispanicum
Sedum spurium,Sedum spurium
Senecio vernalis,Senecio vernalis
Silene dichotoma,Silene dichotoma
Sinapis alba,Sinapis alba
Sisymbrium altissimum,Sisymbrium altissimum
Sisymbrium irio,Sisymbrium irio
Sisymbrium loeselii,Sisymbrium loeselii
Sisymbrium orientale,Sisymbrium orientale
Solidago canadensis,Solidago canadensis
Solidago gigantea,Solidago gigantea
Syringa vulgaris,Syringa vulgaris
Centaurea solstitialis,Centaurea solstitialis
Armoracia rusticana,Armoracia rusticana
Tanacetum parthenium,Tanacetum parthenium
Telekia speciosa,Telekia speciosa
Artemisia annua,Artemisia annua
Artemisia austriaca,Artemisia austriaca
Artemisia dracunculus,Artemisia dracunculus
Trifolium hybridum,Trifolium hybridum
Trifolium incarnatum,Trifolium incarnatum
Artemisia pontica,Artemisia pontica
Tulipa sylvestris,Tulipa sylvestris
Ulex europaeus,Ulex europaeus
Vaccinium macrocarpon,Vaccinium macrocarpon
Valerianella eriocarpa,Valerianella eriocarpa
Veronica filiformis,Veronica filiformis
Veronica peregrina,Veronica peregrina
Vicia grandiflora,Vicia grandiflora
Asclepias syriaca,Asclepias syriaca
Vicia pannonica,Vicia pannonica
Vicia villosa,Vicia villosa
Viola suavis,Viola suavis
Xanthium albinum,Xanthium albinum
Helianthus annuus,Helianthus annuus
Senecio inaequidens,Senecio inaequidens
Pseudotsuga menziesii,Pseudotsuga menziesii
Acroptilon repens,Leuzea repens
Artemisia biennis,Artemisia biennis
Avena sativa,Avena sativa
Bromus carinatus,Bromus carinatus
Calendula officinalis,Calendula officinalis
Echinochloa muricata,Echinochloa muricata
Fraxinus pennsylvanica,Fraxinus pennsylvanica
Gypsophila perfoliata,Gypsophila perfoliata
Gypsophila scorzonerifolia,Gypsophila scorzonerifolia
Larix kaempferi,Larix kaempferi
Lonicera tatarica,Lonicera tatarica
Acorus calamus,Acorus calamus
Pinus strobus,Pinus strobus
Rumex salicifolius,Rumex salicifolius
Atriplex oblongifolia,Atriplex oblongifolia
Atriplex rosea,Atriplex rosea
Atriplex tatarica,Atriplex tatarica
Azolla filiculoides,Azolla filiculoides
Acer negundo,Acer negundo
Barbarea verna,Barbarea verna
Berteroa incana,Berteroa incana
Bidens connata,Bidens connata
Bidens frondosa,Bidens frondosa
Bifora radians,Bifora radians
Brassica juncea,Brassica juncea
Brassica napus,Brassica napus
Aesculus hippocastanum,Aesculus hippocastanum
Bromus japonicus,Bromus japonicus
Buddleja davidii,Buddleja davidii
Bunias orientalis,Bunias orientalis
Panicum riparium,Panicum capillare
Calepina irregularis,Calepina irregularis
Chenopodium botrys,Dysphania botrys
Chenopodium foliosum,Blitum virgatum
Chenopodium pumilio,Dysphania pumilio
Cicerbita macrophylla,Lactuca macrophylla
Hyacinthoides hispanica,Hyacinthoides hispanica
Claytonia perfoliata,Claytonia perfoliata
Collomia grandiflora,Collomia grandiflora
Consolida ajacis,Delphinium ajacis
Conyza canadensis,Erigeron canadensis
Corispermum leptopterum,Corispermum pallasii
Amelanchier alnifolia,Amelanchier alnifolia
Coronopus didymus,Lepidium didymum
Cotula coronopifolia,Cotula coronopifolia
Crepis setosa,Crepis setosa
Cruciata glabra,Cruciata glabra
Cuscuta gronovii,Cuscuta gronovii
Cymbalaria muralis,Cymbalaria muralis
Cynodon dactylon,Cynodon dactylon
Cynosurus echinatus,Cynosurus echinatus
Datura stramonium,Datura stramonium
Diplotaxis muralis,Diplotaxis muralis
Diplotaxis tenuifolia,Diplotaxis tenuifolia
Dipsacus strigosus,Dipsacus strigosus
Abutilon theophrasti,Abutilon theophrasti
Alchemilla mollis,Alchemilla mollis
Ambrosia coronopifolia,Ambrosia psilostachya
Anthoxanthum aristatum,Anthoxanthum aristatum
Echinocystis lobata,Echinocystis lobata
Echinops exaltatus,Echinops exaltatus
Echinops sphaerocephalus,Echinops sphaerocephalus
Atriplex micrantha,Atriplex micrantha
Elaeagnus commutata,Elaeagnus commutata
Bassia scoparia,Bassia scoparia
Elodea canadensis,Elodea canadensis
Elodea nuttallii,Elodea nuttallii
Chamaesyce humifusa,Euphorbia humifusa
Chamaesyce maculata,Euphorbia maculata
Consolida hispanica,Delphinium hispanicum
Pseudofumaria lutea,Pseudofumaria lutea
Cardaria draba,Lepidium draba
Eragrostis minor,Eragrostis minor
Eranthis hyemalis,Eranthis hyemalis
Epilobium ciliatum,Epilobium ciliatum
Erigeron annuus,Erigeron annuus
Fallopia japonica,Reynoutria japonica
Fallopia sachalinensis,Reynoutria sachalinensis
Euphorbia lathyris,Euphorbia lathyris
Oxalis stricta,Oxalis stricta
Phytolacca esculenta,Phytolacca acinosa
Fagopyrum esculentum,Fagopyrum esculentum
Solanum physalifolium,Solanum physalifolium
Symphoricarpos albus,Symphoricarpos albus
Fritillaria meleagris,Fritillaria meleagris
Galega officinalis,Galega officinalis
Galinsoga ciliata,Galinsoga quadriradiata
Galinsoga parviflora,Galinsoga parviflora
Cannabis sativa,Cannabis sativa
