Taxon,nEintraege,nEintraege_neu,RelAnstieg
Abies balsamea,4,,
Abies concolor,101,26,0.8
Abies fraseri,8,,
Abies grandis,339,119,1.42
Abies lasiocarpa,3,,
Abies procera,129,75,1.48
Abies veitchii,5,,
Abutilon theophrasti,505,235,1.56
Acacia dealbata,4,,
Acacia saligna,,,
Acaena novae-zelandiae,1,,
Acanthoscelides obtectus,23,,
Acartia tonsa,2,,
Acer circinatum,4,,
Acer negundo,5930,2709,1.56
Acer opalus subsp. obtusatum,,,
Acer palmatum,132,69,1.35
Acer rufinerve,4,,
Acer saccharinum,1019,592,1.63
Acer saccharum,13,,
Acer tataricum,314,41,0.98
Acer tataricum ginnala,179,25,1.01
Aceria erinea,183,118,1.61
Aceria kuko,1,,
Aceria tristriata,27,,
Acheilognathus asmussii,,,
Acheta domesticus,407,138,0.9
Achillea crithmifolia,44,,
Achnanthes subhudsonis,,,
Achnanthidium rivulare,,,
Acipenser baerii,7,,
Acipenser gueldenstaedtii,8,,
Acipenser stellatus,,,
Acipenser transmontanus,,,
Aconitum x cammarum,,,
Acorus calamus,4479,72,0.56
Acorus gramineus,1,,
Acridotheres cristatellus,2,,
Acridotheres ginginianus,1,,
Acridotheres tristis,,,
Acrochaetium catenulatum,,,
Acrotelsella impudica,,,
Acrotona pseudotenera,4,,
Acrotrichis henrici,2,,
Acrotrichis insularis,32,,
Acrotylus patruelis,,,
Actaea racemosa,2,,
Actinidia arguta,8,,
Actinidia chinensis,36,,
Aculops fuchsiae,,,
Acyrthosiphon caraganae,6,,
Adelges cooleyi,7,,
Adelges nordmannianae,54,,
Adiantum polyphyllum,1,,
Adistemia watsoni,2,,
Aedes albopictus,81,68,2.13
Aedes japonicus,130,112,2.05
Aedes japonicus japonicus,,,
Aegilops cylindrica,25,,
Aegypius monachus,16,,
Aeonium arboreum,2,,
Aeschynomene indica,1,,
Aesculus carnea,409,45,0.44
Aesculus flava,13,,
Aesculus hippocastanum,18369,5262,1.37
Aesculus parviflora,84,12,0.43
Aesculus pavia,31,,
Agapanthus praecox,1,,
Agapornis fischeri,4,,
Agapornis lilianae,,,
Agapornis personatus,1,,
Agapornis roseicollis,7,,
Agaricus bohusii,2,,
Agastache foeniculum,10,,
Ageratina adenophora,4,,
Ageratina altissima,8,,
Ageratina riparia,,,
Ageratum houstonianum,1864,1517,2.01
Aglaothamnion halliae,,,
Agrilus planipennis,,,
Agrostis castellana,24,,
Agrostis scabra,22,,
Ahasverus advena,62,,
Ahasverus excisus,,,
Ailanthus altissima,6613,2412,0.94
Aira elegans,2,,
Aix galericulata,10488,3875,1.15
Aix sponsa,1084,324,0.98
Akebia quinata,46,,
Alcea rosea,2527,1378,1.56
Alchemilla mollis,2472,1239,1.6
Alchemilla tytthantha,,,
Alectoris chukar,1,,
Alectoris graeca,5,,
Aleurotulus nephrolepidis,,,
Alexandrium minutum,,,
Alexandrium pseudogonyaulax,,,
Alexandrium tamarense,,,
Alitta succinea,6,,
Alitta virens,77,12,0.43
Alkekengi officinarum franchetii,105,,
Allium atropurpureum,3,,
Allium cepa,130,26,0.9
Allium fistulosum,19,,
Allium paradoxum,3012,2507,2.1
Allium roseum,4,,
Allium sativum,218,52,0.97
Allium tuberosum,21,,
Allolobophora parva,,,
Allopeas gracile,,,
Allopeas micra,,,
Alnus alnobetula sinuata,1,,
Alnus cordata,19,,
Alnus japonica,4,,
Alnus pubescens,113,,
Alnus rubra,16,,
Alocentron curvirostre,31,,
Aloe arborescens,2,,
Alopochen aegyptiaca,50000,32761,1.56
Alosa sapidissima,,,
Aloysia citriodora,1,,
Alphitobius diaperinus,61,,
Alphitophagus bifasciatus,78,,
Alternanthera philoxeroides,,,
Amadina fasciata,,,
Amaranthus albus,598,31,0.91
Amaranthus blitoides,181,,
Amaranthus blitum emarginatus,11,,
Amaranthus crispus,6,,
Amaranthus cruentus,219,,
Amaranthus deflexus,51,,
Amaranthus emarginatus,81,,
Amaranthus emarginatus emarginatus,33,,
Amaranthus emarginatus pseudogracilis,13,,
Amaranthus graecizans,37,,
Amaranthus hybridus,545,28,0.46
Amaranthus hypochondriacus,184,,
Amaranthus ozanonii,1,,
Amaranthus palmeri,7,,
Amaranthus powellii,1992,35,0.15
Amaranthus powellii bouchonii,172,,
Amaranthus retroflexus,6745,1191,1.27
Amaranthus standleyanus,12,,
Amaranthus viridis,9,,
Amathia gracilis,4,,
Amathia imbricata,1,,
Amaurobius similis,108,41,1.07
Amazona aestiva,4,,
Amazona amazonica,1,,
Amazona farinosa,,,
Amazona ochrocephala,,,
Amazona oratrix,154,50,0.83
Ambigolimax valentianus,125,108,2.07
Ambrosia artemisiifolia,3194,1305,1.48
Ambrosia polystachya,,,
Ambrosia psilostachya,126,16,0.54
Ambrosia trifida,46,,
Ambystoma mexicanum,,,
Ameira divagans,,,
Ameira divagans divagans,,,
Ameiurus melas,6,,
Ameiurus nebulosus,13,,
Amelanchier alnifolia,11,,
Amelanchier humilis,53,,
Amelanchier laevis,25,,
Amelanchier lamarckii,904,144,0.92
Amelanchier stolonifera,,,
Ammi majus,89,,
Ammotragus lervia,,,
Amorpha fruticosa,229,48,0.87
Amphiareus obscuriceps,26,,
Amphibalanus amphitrite,,,
Amphibalanus improvisus,68,,
Amphitomeus attemsi,16,,
Amsinckia menziesii,17,,
Amynthas heterochaetus,,,
Amynthas rodericensis,,,
Amyrsidea phaeostoma,,,
Anagrus atomus,53,0,0
Anaphalis margaritacea,637,353,1.79
Anarsia lineatella,28,,
Anas americana,54,,
Anas bahamensis,87,16,0.54
Anas capensis,7,,
Anas castanea,59,,
Anas cyanoptera,10,,
Anas discors,50,,
Anas erythrorhyncha,2,,
Anas flavirostris,4,,
Anas georgica,,,
Anas hottentota,9,,
Anas poecilorhyncha,27,,
Anas superciliosa,1,,
Anas undulata,43,,
Anas versicolor,5,,
Anchiphiloscia balssi,,,
Anchusa arvensis subsp. arvensis,910,21,0.24
Anchusa azurea,60,,
Anchusa ochroleuca,,,
Ancylostoma duodenale,,,
Androniscus dentiger,41,,
Andropogon virginicus,,,
Anemone apennina,32,,
Anemone blanda,1051,417,1.29
Anethum graveolens,884,56,0.73
Anguilla rostrata,1,,
Anguillicola crassus,,,
Anillus caecus,,,
Anoplolepis gracilipes,,,
Anoplophora chinensis,3,,
Anoplophora glabripennis,2,,
Anser albifrons,,,
Anser anser,,,
Anser brachyrhynchus,1144,272,0.81
Anser cygnoides,788,274,1.14
Anser erythropus,346,53,0.59
Anser fabalis,,,
Anser indicus,3790,966,0.89
Anthemis ruthenica,138,,
Antheraea yamamai,25,,
Anthoxanthum aristatum,452,22,0.99
Anthrenocerus australis,46,,
Anthrenus flavidus,,,
Anthropoides virgo,20,,
Antithamnionella spirographidis,,,
Antithamnionella ternifolia,5,,
Aonidia lauri,,,
Apera interrupta,19,,
Aphanomyces astaci,,,
Aphelenchoides ritzemabosi,,,
Aphelinus mali,,,
Aphelochaeta marioni,7,,
Aphis aurantii,1,,
Aphis craccivora,11,,
Aphis forbesi,1,,
Aphis gossypii,,,
"Aphis gossypii Glover, 1877",,,
Aphis oenotherae,,,
Aphis rosa-suaveolens,128,53,1.15
Aphis spiraephaga,,,
Aphyllon uniflorum,,,
Apistogramma arua,,,
Aplidium glabrum,,,
Aponogeton distachyos,6,,
Aproceros leucopoda,33,,
Arabis caucasica,310,22,0.7
Arabis collina,22,,
Arachis hypogaea,4,,
Arachnidium lacourti,,,
Araecerus fasciculatus,,,
Aralia chinensis,6,,
Aralia elata,20,,
Aralia spinosa,1,,
Aratinga holochlora,,,
Araucaria araucana,63,27,1.11
Araujia sericifera,4,,
Archachatina marginata,,,
Arcitalitrus sylvaticus,,,
Arctotheca calendula,1,,
Aremonia agrimonoides,19,,
Aremonia agrimonoides agrimonoides,,,
Argonemertes dendyi,,,
Argulus japonicus,,,
Argyresthia thuiella,3,,
Argyresthia trifasciata,60,,
Arion lusitanicus,147,12,0.43
Arion vulgaris,1899,419,0.65
Aristolochia macrophylla,,,
Armadillidium nasatum,291,76,1.59
Armadillo officinalis,1,,
Armoracia rusticana,,,
Arnica chamissonis,5,,
Aromia bungii,3,,
Aronia melanocarpa,50,19,0.9
Artemisia abrotanum,561,489,2.14
Artemisia annua,403,283,2.06
Artemisia austriaca,51,,
Artemisia biennis,33,,
Artemisia dracunculus,660,444,2.04
Artemisia gmelinii,,,
Artemisia ludoviciana,3,,
Artemisia pontica,47,,
Artemisia siversiana,6,,
Artemisia stelleriana,4,,
Artemisia verlotiorum,808,73,0.72
Arthurdendyus triangulates,,,
Arthurdendyus triangulatus,,,
Arum italicum,556,397,1.76
Asarina procumbens,10,,
Ascidiella aspersa,6,,
Asclepias syriaca,86,,
Ascochyta gossypii,,,
Ascochyta syringae,8,,
Ascophyllum nodosum,148,37,0.74
Ascotremella faginea,33,,
Asperogronops inaequalis,1,,
Aspidapion validum,177,74,1.01
Aspidiotus chamaeropsis,,,
Aspidiotus destructor,,,
Aspidiotus myrthi,,,
Aspidiotus nerii,,,
Aspidiotus palmarum,,,
Asplenium foresiense,2,,
Asplenium ruta-muraria x trichomanes,2,,
Astacus leptodactylus,,,
"Astacus leptodactylus (Eschscholtz, 1823)",,,
Asterionella glacialis,539,,
Asterolecanium epidendri,,,
Astilbe rivularis,2,,
Astilbe rubra,1,,
Astragalus onobrychis,21,,
Atelerix albiventris,60,39,1.55
Athene noctua,6507,1464,0.85
Atomaria lewisi,89,,
Atriplex australasica,1,,
Atriplex micrantha,1130,40,0.15
Atriplex northusana,,,
Atriplex oblongifolia,830,29,0.76
Atriplex oblongifolia x patula,70,,
Atriplex rosea,78,,
Atriplex tatarica,110,,
Attagenus fasciatus,,,
Attagenus unicolor,55,,
Atyaephyra desmarestii,13,,
Aucuba japonica,48,,
Aulacaspis rosae,,,
Aurelia coerulea,,,
Aureoboletus projectellus,5,,
Aurinia petraea,5,,
Austrominius modestus,33,,
Avena sativa,3865,2547,2.06
Avena sativa sativa,280,,
Axis axis,5,,
Axyris amaranthoides,,,
Aythya americana,2,,
Aythya ferina,1,,
Azolla filiculoides,243,66,1.24
Azolla mexicana,,,
Babka gymnotrachelus,6,,
Baccharis halimifolia,,,
Badumna longinqua,,,
Baeocrara japonica,1,,
Balearica pavonina,1,,
Balearica regulorum,1,,
Ballerus sapa,32,,
Bambara contorta,,,
Bambara fusca,,,
Bambusa vulgaris,2,,
Bambusicola thoracicus,,,
Barbarea verna,67,,
Barbronia weberi,4,,
Baruscapillaria ransomia,,,
Bassia scoparia,323,26,0.58
Batrachochytrium dendrobatidis,27,,
Baylisascaris procyonis,,,
Beaucarnea recurvata,1,,
Beckianum beckianum,,,
Beckmannia syzigachne,1,,
Begonia grandis,4,,
Bellardia viscosa,21,,
Belonochilus numenius,7,,
Bemisia tabaci,1,,
Benthana olfersii,,,
Berberis darwinii,4,,
Berberis gagnepainii,40,,
Berberis julianae,273,116,1.14
Berberis microphylla,1,,
Berberis thunbergii,6100,4630,1.95
Berteroa incana,,,
Betula alleghaniensis,2,,
Biddulphia sinensis,2419,0,0
Bidens aurea,115,,
Bidens connata,283,,
Bidens frondosa,2803,261,0.97
Bidens pilosa,5,,
Bidens triplinervia,5,,
Bifora radians,225,,
Bimastos rubidus,213,,
Biomphalaria camerunensis,,,
Biomphalaria orbicula,,,
Biomphalaria straminea,,,
Bipalium kewense,1,,
Bipolaris maydis,,,
Bisnius parcus,,,
Bison bison,2,,
Bistorta amplexicaulis,55,30,1.37
