Taxon_deutsch,Taxon_wissensch
Chinesische Samtpappel,Abutilon theophrasti
Eschen-Ahorn,Acer negundo
Tataren-Ahorn,Acer tataricum
Meerfenchelblättrige Schafgarbe,Achillea crithmifolia
Kalmus,Acorus calamus
Tannentrieblaus,Adelges nordmannianae
,Aedes albopictus
,Aedes japonicus
Rote Rosskastanie,Aesculus carnea
Rosskastanie,Aesculus hippocastanum
Kastilisches Straußgras,Agrostis castellana
,Ahasverus advena
Goetterbaum,Ailanthus altissima
Mandarinente,Aix galericulata
Brautente,Aix sponsa
Garten-Stockrose,Alcea rosea
Weicher Frauenmantel,Alchemilla mollis
Wunder-Lauch,Allium paradoxum
Knoblauch,Allium sativum
Nilgans,Alopochen aegyptiaca
Getreideschimmelkäfer,Alphitobius diaperinus
Zweibindiger Pilzschwarzkäfer,Alphitophagus bifasciatus
Weisser Amarant,Amaranthus albus
Westamerikanischer Amarant,Amaranthus blitoides
Liegender Fuchsschwanz,Amaranthus deflexus
Ausgerandeter Amarant,Amaranthus emarginatus
,Amaranthus blitum emarginatus
Griechischer Fuchsschwanz,Amaranthus graecizans
Ausgebreiteter Fuchsschwanz,Amaranthus hybridus
Gruenaehriger Bastard-Amarant,Amaranthus powellii
Rauhaariger Fuchsschwanz,Amaranthus retroflexus
Gelbkopfamazone,Amazona oratrix
Gewächshausschnegel,Ambigolimax valentianus
Aufrechtes Traubenkraut,Ambrosia artemisiifolia
Stauden-Ambrosie,Ambrosia psilostachya
Dreilappiges Traubenkraut,Ambrosia trifida
Schwarzer Katzenwels,Ameiurus melas
Katzenwels,Ameiurus nebulosus
Besen-Felsenbirne,Amelanchier humilis
Kupfer-Felsenbirne,Amelanchier lamarckii
Große Knorpelmöhre,Ammi majus
Mähnenschaf,Ammotragus lervia
Bastardindigo,Amorpha fruticosa
Menzies-Amsinckie,Amsinckia menziesii
,Anagrus atomus
Großblütiges Perlkörbchen,Anaphalis margaritacea
Nordamerikanische Pfeifente,Mareca americana
Kastanienente,Anas castanea
Italienische Ochsenzunge,Anchusa azurea
Rosa Höhlenassel,Androniscus dentiger
Balkan-Windroeschen,Anemone blanda
Dill,Anethum graveolens
Graugans,Anser anser
Kurzschnabelgans,Anser brachyrhynchus
Schwanengans,Anser cygnoides
Streifengans,Anser indicus
Ruthenische Hundskamille,Anthemis ruthenica
Grannen-Ruchgras,Anthoxanthum aristatum
Unterbrochener Windhalm,Apera interrupta
Kaukasische Gänsekresse,Arabis caucasica
Wacholder-Knospenmotte,Argyresthia trifasciata
Spanische Wegschnecke,Arion lusitanicus
Spanische Wegschnecke,Arion vulgaris
,Armadillidium nasatum
Garten-Meerrettich,Armoracia rusticana
Eberraute,Artemisia abrotanum
Einjähriger Beifuß,Artemisia annua
Österreichischer Beifuß,Artemisia austriaca
Zweijaehriger Beifuss,Artemisia biennis
Estragon,Artemisia dracunculus
Pontischer Beifuß,Artemisia pontica
Ostasiatischer Beifuss,Artemisia verlotiorum
Italienischer Aronstab,Arum italicum
Syrische Seidenpflanze,Asclepias syriaca
,Aspidapion validum
,Atomaria lewisi
Verschiedensamige Melde,Atriplex micrantha
Langblättrige Melde,Atriplex oblongifolia
Rosen-Melde,Atriplex rosea
