Taxon_deutsch,Taxon_wissensch
Chinesische Samtpappel,Abutilon theophrasti
Eschen-Ahorn,Acer negundo
Tataren-Ahorn,Acer tataricum
Feuer-Ahorn,Acer ginnala
Meerfenchelblättrige Schafgarbe,Achillea crithmifolia
Kalmus,Acorus calamus
Tannentrieblaus,Adelges nordmannianae
,Aedes albopictus
,Aedes japonicus
Rote Rosskastanie,Aesculus carnea
Rote Rosskastanie,Aesculus × carnea
Gewöhnliche Rosskastanie,Aesculus hippocastanum
Kastilisches Straußgras,Agrostis castellana
,Ahasverus advena
Götterbaum,Ailanthus altissima
,Ailanthus altissima altissima
Mandarinente,Aix galericulata
Brautente,Aix sponsa
,Aix sponsa × Lophodytes cucullatus
Gewöhnliche Stockrose,Alcea rosea
Weicher Frauenmantel,Alchemilla mollis
Seltsamer Lauch,Allium paradoxum
Knoblauch,Allium sativum
,Allium sativum ophioscorodon
Nilgans,Alopochen aegyptiaca
Getreideschimmelkäfer,Alphitobius diaperinus
Zweibindiger Pilzschwarzkäfer,Alphitophagus bifasciatus
Weißer Amarant,Amaranthus albus
Westamerikanischer Amarant,Amaranthus blitoides
Liegender Fuchsschwanz,Amaranthus deflexus
Ausgerandeter Amarant,Amaranthus emarginatus
,Amaranthus blitum emarginatus
Griechischer Fuchsschwanz,Amaranthus graecizans
Griechischer Fuchsschwanz,Amaranthus graecizans silvestris
Ausgebreiteter Fuchsschwanz,Amaranthus hybridus
Rispiger Fuchsschwanz,Amaranthus cruentus
Trauer-Fuchsschwanz,Amaranthus hypochondriacus
,Amaranthus hybridus hybridus
Grünähriger Amarant,Amaranthus powellii
Zurückgekrümmter Fuchsschwanz,Amaranthus retroflexus
Gelbkopfamazone,Amazona oratrix
,Amazona oratrix oratrix
Gewächshausschnegel,Ambigolimax valentianus
Beifußambrosie,Ambrosia artemisiifolia
Stauden-Ambrosie,Ambrosia psilostachya
Dreilappiges Traubenkraut,Ambrosia trifida
Schwarzer Katzenwels,Ameiurus melas
Katzenwels,Ameiurus nebulosus
Besen-Felsenbirne,Amelanchier humilis
Kupfer-Felsenbirne,Amelanchier lamarckii
Kupfer-Felsenbirne,Amelanchier × lamarckii
Große Knorpelmöhre,Ammi majus
,Ammi majus glaucifolium
Mähnenschaf,Ammotragus lervia
Bastardindigo,Amorpha fruticosa
Menzies-Amsinckie,Amsinckia menziesii
,Amsinckia menziesii menziesii
,Anagrus atomus
Großblütiges Perlkörbchen,Anaphalis margaritacea
Nordamerikanische Pfeifente,Anas americana
Nordamerikanische Pfeifente,Mareca americana
,Mareca americana × penelope
Kastanienente,Anas castanea
Italienische Ochsenzunge,Anchusa azurea
Rosa Höhlenassel,Androniscus dentiger
Balkan-Windröschen,Anemone blanda
,Anemonoides blanda
Dill,Anethum graveolens
Graugans,Anser anser
Kurzschnabelgans,Anser brachyrhynchus
Schwanengans,Anser cygnoides
,Anser anser × cygnoides
,Anser anser domesticus × anser cygnoides domesticus
,Anser cygnoides domesticus
,Anser cygnoides cygnoides
,Anser cygnoides × Branta canadensis
Streifengans,Anser indicus
,Anser indicus × Branta leucopsis
,Anser indicus × Branta canadensis
,Anser albifrons × indicus
Ruthenische Hundskamille,Anthemis ruthenica
