TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,10182,8.791667,54.975,1,1960 - 1987,3e-04,0
Impatiens glandulifera,3063,10184,8.791667,54.925,1,1960 - 1987,0.0014,0
Impatiens glandulifera,3063,10191,8.875,54.975,1,1960 - 1987,8e-04,0
Impatiens glandulifera,3063,10192,8.958333,54.975,1,1960 - 1987,8e-04,1e-04
Impatiens glandulifera,3063,10193,8.875,54.925,1,1960 - 1987,0.0012,0
Impatiens glandulifera,3063,10194,8.958333,54.925,1,1960 - 1987,0.0016,0
Impatiens glandulifera,3063,11181,8.708333,54.875,1,1960 - 1987,7e-04,0
Impatiens glandulifera,3063,11182,8.791667,54.875,1,1960 - 1987,0.0013,0
Impatiens glandulifera,3063,11183,8.708333,54.825,1,1960 - 1987,0.0011,0
Impatiens glandulifera,3063,11184,8.791667,54.825,1,1960 - 1987,0.0018,1e-04
Impatiens glandulifera,3063,11191,8.875,54.875,1,1960 - 1987,4e-04,0
Impatiens glandulifera,3063,11192,8.958333,54.875,1,1960 - 1987,2e-04,0
Impatiens glandulifera,3063,11193,8.875,54.825,1,1960 - 1987,3e-04,0
Impatiens glandulifera,3063,11194,8.958333,54.825,1,1960 - 1987,0.0018,1e-04
Impatiens glandulifera,3063,11201,9.041667,54.875,1,1960 - 1987,0.0017,0
Impatiens glandulifera,3063,11202,9.125,54.875,1,1960 - 1987,0.0042,1e-04
Impatiens glandulifera,3063,11203,9.041667,54.825,1,1960 - 1987,0.013,3e-04
Impatiens glandulifera,3063,11204,9.125,54.825,1,1960 - 1987,0.0047,1e-04
Impatiens glandulifera,3063,11211,9.208333,54.875,1,1960 - 1987,0.0117,3e-04
Impatiens glandulifera,3063,11212,9.291667,54.875,1,1960 - 1987,0.0302,8e-04
Impatiens glandulifera,3063,11213,9.208333,54.825,1,1960 - 1987,0.0096,2e-04
Impatiens glandulifera,3063,11214,9.291667,54.825,1,1960 - 1987,0.0364,9e-04
