Taxon,Laengengrad,Breitengrad,Zeitpunkt,Aufenthaltsw,Datenbank
Magallana gigas,8.4210531949,55.4786908267,2024-01-28,1,iNat
Magallana gigas,10.4631261997,56.5211461,2024-01-28,1,iNat
Magallana gigas,7.0398185742,53.6856237562,2015-12-31,1,iNat
Magallana gigas,12.3649471877,45.5508764881,2024-01-03,1,iNat
Magallana gigas,12.3660031954,45.5669596264,2024-01-03,1,iNat
Magallana gigas,12.324602722,45.508764612,2024-01-03,1,iNat
Magallana gigas,12.2848439166,45.5995380995,2024-01-03,1,iNat
Magallana gigas,12.2169873793,45.4009474502,2024-01-03,1,iNat
Magallana gigas,8.1777226712,55.5337539475,2024-01-07,1,iNat
Magallana gigas,8.1895136524,55.5287386217,2024-01-07,1,iNat
Magallana gigas,7.9170733318,54.1819700971,2019-05-19,1,iNat
Magallana gigas,12.30142,45.236603,2021-04-16,1,iNat
Magallana gigas,12.341845,45.436,2023-12-29,1,iNat
Magallana gigas,11.8026621267,55.7564285349,2023-11-21,1,iNat
Magallana gigas,11.7998518422,55.7559415901,2023-11-21,1,iNat
Magallana gigas,10.6434658112,56.1882367872,2023-11-19,1,iNat
Magallana gigas,10.1783077979,54.3570434695,2023-11-12,1,iNat
Magallana gigas,10.2894084216,56.2109883897,2023-11-09,1,iNat
Magallana gigas,12.625995,45.4969883333,2023-11-03,1,iNat
Magallana gigas,7.62566,53.688205,2023-11-04,1,iNat
Magallana gigas,11.9262781362,57.4036958411,2023-10-27,1,iNat
Magallana gigas,7.4866466667,53.6823833333,2021-08-05,1,iNat
Magallana gigas,8.6331175268,55.0379448459,2023-10-23,1,iNat
Magallana gigas,12.4620135833,55.6253381003,2023-10-25,1,iNat
Magallana gigas,8.352418,53.6031529722,2023-10-23,1,iNat
Magallana gigas,6.9958338,53.6783148,2018-12-29,1,iNat
Magallana gigas,13.52559,45.436593,2013-07-17,1,iNat
Magallana gigas,13.52559,45.436593,2013-07-17,1,iNat
Magallana gigas,13.52559,45.436593,2013-07-17,1,iNat
Magallana gigas,12.45613,45.4396433333,2023-10-14,1,iNat
Magallana gigas,12.6157781734,55.7124806227,2023-10-11,1,iNat
Magallana gigas,8.6460826546,53.8881563125,2023-10-12,1,iNat
Magallana gigas,8.5123248569,54.5789819797,2023-10-10,1,iNat
Magallana gigas,6.6752613522,53.5902446788,2023-10-08,1,iNat
Magallana gigas,8.6151068285,53.8737237253,2023-08-22,1,iNat
Magallana gigas,8.7380840428,56.5250766081,2023-09-07,1,iNat
Magallana gigas,8.7380840428,56.5250766081,2023-09-07,1,iNat
Magallana gigas,12.6735744824,55.6335720993,2023-09-27,1,iNat
Magallana gigas,8.6843973398,53.8834211659,2023-09-26,1,iNat
Magallana gigas,12.3414861111,45.4336277778,2023-09-12,1,iNat
Magallana gigas,8.4704666667,55.1162,2023-09-17,1,iNat
Magallana gigas,8.8051104758,54.0239093207,2012-05-07,1,iNat
Magallana gigas,8.7284233333,56.6237583333,2023-09-15,1,iNat
Magallana gigas,8.728435,56.6237383333,2023-09-15,1,iNat
Magallana gigas,11.6706220153,57.7425684695,2023-09-13,1,iNat
Magallana gigas,11.6706583835,57.7425864526,2023-09-13,1,iNat
Magallana gigas,7.486745,53.6826133333,2021-08-05,1,iNat
Magallana gigas,11.6706394612,57.7425621112,2023-09-12,1,iNat
Magallana gigas,11.6706391052,57.7425865783,2023-09-12,1,iNat
Magallana gigas,11.6706633333,57.74258,2023-09-12,1,iNat
