Taxon_orig,Taxon
Abies alba,Abies alba
Cotoneaster divaricatus,Cotoneaster divaricatus
Lathyrus latifolius,Lathyrus latifolius
Lathyrus sylvestris,Lathyrus sylvestris
Lathyrus tuberosus,Lathyrus tuberosus
Alopecurus myosuroides,Alopecurus myosuroides
Lepidium densiflorum,Lepidium densiflorum
Lepidium graminifolium,Lepidium graminifolium
Lepidium heterophyllum,Lepidium heterophyllum
Lepidium latifolium,Lepidium latifolium
Lepidium neglectum,Lepidium densiflorum
Lepidium virginicum,Lepidium virginicum
Leucanthemum atratum agg.,Leucanthemum atratum
Leucojum vernum,Leucojum vernum
Ligusticum mutellina,Mutellina adonidifolia
Ligustrum vulgare,Ligustrum vulgare
Lilium martagon,Lilium martagon
Lindernia dubia,Lindernia dubia
Linum perenne agg.,Linum perenne
Linum usitatissimum,Linum usitatissimum
Lithospermum purpurocaeruleum,Aegonychon purpurocaeruleum
Lolium multiflorum,Lolium multiflorum
Lolium remotum,Lolium remotum
Lonicera caprifolium,Lonicera caprifolium
Lonicera nigra,Lonicera nigra
Lunaria rediviva,Lunaria rediviva
Lupinus polyphyllus,Lupinus polyphyllus
Luzula luzulina,Luzula luzulina
Lycium barbarum,Lycium barbarum
Lysimachia punctata,Lysimachia punctata
Amaranthus albus,Amaranthus albus
Mahonia aquifolium,Mahonia aquifolium
Amaranthus blitoides,Amaranthus blitoides
Malva sylvestris,Malva sylvestris
Matricaria discoidea,Matricaria discoidea
Matteuccia struthiopteris,Matteuccia struthiopteris
Medicago arabica,Medicago arabica
Medicago minima,Medicago minima
Medicago sativa agg.,Medicago sativa
Amaranthus deflexus,Amaranthus deflexus
Amaranthus graecizans,Amaranthus graecizans
Amaranthus hybridus agg.,Amaranthus hybridus
Melica ciliata agg.,Melica ciliata
Melilotus altissimus,Melilotus altissimus
Melilotus indicus,Melilotus indicus
Mentha spicata agg.,Mentha spicata
Amaranthus retroflexus,Amaranthus retroflexus
Mimulus guttatus,Mimulus guttatus
Ambrosia artemisiifolia,Ambrosia artemisiifolia
Ambrosia trifida,Ambrosia trifida
Amelanchier lamarckii,Amelanchier lamarckii
Amelanchier ovalis,Amelanchier ovalis
Muscari botryoides,Muscari botryoides
Myagrum perfoliatum,Myagrum perfoliatum
Myosotis sylvatica agg.,Myosotis sylvatica
Ammi majus,Ammi majus
Myosotis sparsiflora,Myosotis sparsiflora
Myriophyllum heterophyllum,Myriophyllum heterophyllum
Myrrhis odorata,Myrrhis odorata
Narcissus poeticus,Narcissus poeticus
Narcissus pseudonarcissus,Narcissus pseudonarcissus
Nicandra physalodes,Nicandra physalodes
Nonea pulla,Nonea pulla
Nymphoides peltata,Nymphoides peltata
Achillea nobilis,Achillea nobilis
Onobrychis viciifolia agg.,Onobrychis viciifolia
Onopordum acanthium,Onopordum acanthium
Ornithogalum nutans agg.,Ornithogalum nutans
Ornithopus sativus,Ornithopus sativus
Anchusa azurea,Anchusa azurea
Orobanche hederae,Orobanche hederae
Oxalis corniculata,Oxalis corniculata
Oxalis dillenii,Oxalis dillenii
Panicum capillare,Panicum capillare
Panicum miliaceum,Panicum miliaceum
Papaver somniferum,Papaver somniferum
Parietaria pensylvanica,Parietaria pensylvanica
Parthenocissus quinquefolia agg.,Parthenocissus quinquefolia
Petasites albus,Petasites albus
Petrorhagia saxifraga,Petrorhagia saxifraga
Peucedanum ostruthium,Imperatoria ostruthium
Phacelia tanacetifolia,Phacelia tanacetifolia
Phalaris arundinacea,Phalaris arundinacea
Phalaris canariensis,Phalaris canariensis
Philadelphus coronarius,Philadelphus coronarius
Phleum alpinum agg.,Phleum alpinum
Phleum pratense agg.,Phleum pratense
Phyteuma nigrum,Phyteuma nigrum
Picea abies,Picea abies
Picris echioides,Helminthotheca echioides
Pinus mugo agg.,Pinus mugo
Pinus nigra,Pinus nigra
Plantago coronopus,Plantago coronopus
Allium scorodoprasum,Allium scorodoprasum
Poa alpina,Poa alpina
Poa chaixii,Poa chaixii
Polemonium caeruleum,Polemonium caeruleum
Angelica archangelica,Angelica archangelica
Populus alba,Populus alba
Portulaca oleracea,Portulaca oleracea
Carex secalina,Carex secalina
Carex strigosa,Carex strigosa
Potentilla inclinata,Potentilla inclinata
Potentilla intermedia,Potentilla intermedia
Potentilla norvegica,Potentilla norvegica
Potentilla recta,Potentilla recta
Potentilla supina,Potentilla supina
Potentilla verna agg.,Potentilla verna
Anthemis ruthenica,Anthemis ruthenica
Primula vulgaris,Primula vulgaris
Prunella laciniata,Prunella laciniata
Prunus avium,Prunus avium
Prunus cerasus agg.,Prunus cerasus
Prunus domestica,Prunus domestica
Prunus mahaleb,Prunus mahaleb
Prunus serotina,Prunus serotina
Puccinellia distans agg.,Puccinellia distans
Pulmonaria officinalis agg.,Pulmonaria officinalis
Pyrus communis agg.,Pyrus communis
Anthriscus cerefolium,Anthriscus cerefolium
Quercus rubra,Quercus rubra
Anthriscus sylvestris agg.,Anthriscus sylvestris
Ranunculus lingua,Ranunculus lingua
Ailanthus altissima,Ailanthus altissima
Rapistrum perenne,Rapistrum perenne
Rapistrum rugosum,Rapistrum rugosum
Reseda lutea,Reseda lutea
Setaria verticillata,Setaria verticillata
Ribes alpinum,Ribes alpinum
Ribes nigrum,Ribes nigrum
Eragrostis albensis,Eragrostis pilosa
Robinia pseudoacacia,Robinia pseudoacacia
Rorippa anceps,Rorippa anceps
Rorippa austriaca,Rorippa austriaca
Rorippa pyrenaica,Rorippa pyrenaica
Rosa glauca,Rosa glauca
Rosa majalis,Rosa majalis
Antirrhinum majus,Antirrhinum majus
Rosa rugosa,Rosa rugosa
Apera interrupta,Apera interrupta
Campanula cochleariifolia,Campanula cochleariifolia
Spiraea billardii,Spiraea billardii
Aposeris foetida,Aposeris foetida
Aquilegia vulgaris agg.,Aquilegia vulgaris
Rudbeckia hirta,Rudbeckia hirta
Rudbeckia laciniata,Rudbeckia laciniata
Rumex longifolius,Rumex longifolius
Rumex scutatus,Rumex scutatus
Rumex stenophyllus,Rumex stenophyllus
Arabis alpina agg.,Arabis alpina
Salix acutifolia,Salix acutifolia
Centaurea calcitrapa,Centaurea calcitrapa
Salix daphnoides,Salix daphnoides
Salix eleagnos,Salix eleagnos
Salix myrsinifolia,Salix myrsinifolia
